,name,description,longitude,latitude,category,country
0,India Gate,,77.22949282049879,28.6129332,War Memorial,India
1,Humayun's Tomb,"Humayun's tomb (Persian: Maqbara-i Humayun) is the tomb of Mughal emperor, Mirza Nasir al-Din Muhammad commonly known as Humayun situated in Delhi, India.",77.2506468018002,28.5932856,Tomb,India
2,Akshardham Temple,"Swaminarayan Akshardham is a Hindu temple and spiritual-cultural campus in Delhi, India.",72.14177882095044,21.754097950000002,Temple,India
4,Jantar Mantar,"A Jantar Mantar (Hindustani pronunciation: [d͡ʒən̪t̪ər mən̪t̪ər]) is an assembly of stone-built astronomical instruments, designed to be used with the naked eye.",75.8244663,26.9247389,Observatory,India
5,Chandni Chowk,"The Chandni Chowk (meaning Moonlight Square) is one of the oldest and busiest markets in Old Delhi, India.",77.2321937,28.6559834,Market,India
6,Lotus Temple,,-118.3114643,34.0258457,Temple,India
7,Red Fort,,77.24079592327321,28.65608095,Fort,India
8,Agrasen ki Baoli,"Agrasen Ki Baoli (also known as behens Ki Baoli; transl. Baoli of Agrasen) is a 60-meter long and 15-meter wide historical stepwell in New Delhi, India.",77.2250111,28.626067550000002,Stepwell,India
9,Sunder Nursery,"Sunder Nursery, formerly called Azim Bagh or Bagh-e-Azeem, is a 16th-century heritage park complex adjacent to the Humayun's Tomb, a UNESCO World Heritage Site in Delhi.",77.24701877915552,28.596909750000002,Park,India
10,Garden of Five Senses,"The Garden of Five Senses is a park in Delhi, India.",77.1983444893105,28.5137724,Park,India
11,Lodhi Garden,"Lodi Gardens is a city park situated in New Delhi, India.",77.22155326227056,28.59626845,Park,India
12,National Gallery of Modern Art,"The National Gallery of Modern Art (NGMA) is the premier art gallery under Ministry of Culture, Government of India.",12.482530882573537,41.91723585,Museum,India
13,National Zoological Park ,,-77.04853783318326,38.928593649999996,Zoo,India
14,Qutub Minar,"The Qutb Minar, also spelled Qutub Minar and Qutab Minar, is a minaret and ""victory tower"" that forms part of the Qutb complex, which lies at the site of Delhi's oldest fortified city, Lal Kot, founded by the Tomar Rajputs.",77.18545014156862,28.524413,Monument,India
15,National Science Centre,"The National Science Centre (Polish: Narodowe Centrum Nauki, often abbreviated NCN) is a governmental grant-making agency responsible for providing financial support for the conduct of basic science research in Poland and various programs to assist scientists throughout their careers.",19.93059510982414,50.04657565,Science,India
