,name,description,longitude,latitude,category,country
39897,"""Bukit Bendera"" Sign",,114.6607606,4.8074601,Monument,Brunei
39898,"""Pekan Tutong"" Sign",,114.6578477,4.8056199,Monument,Brunei
39899,"""Sungai Tutong"" Sign",,114.6574561,4.8035084,Monument,Brunei
39900,"""Tutong"" Sign",,114.6679735,4.8191676,Monument,Brunei
39901,Balai khazanah,,114.9198582,4.8837293,Museum,Brunei
39902,Billionth Barrel Monument,,114.3171615,4.616748,Tourist Attraction,Brunei
39903,Brunei Clock Tower,,114.942412,4.8902702,Tourist Attraction,Brunei
39904,Bukit Agok,,114.7918519,4.9133654,Natural Landmark,Brunei
39905,Bukit Meraburong,,114.7867784,4.8300364,Natural Landmark,Brunei
39906,Bukit Pagon,,115.3227707,4.2962093,Natural Landmark,Brunei
39907,Bukit Sipatir,,114.9798129,4.8964906,Natural Landmark,Brunei
39908,Bukit Teraja,,114.4349864,4.3057489,Natural Landmark,Brunei
39909,Twelve roof house,,114.9516371,4.8774517,Tourist Attraction,Brunei
39910,Footbridge Across Canal,,114.9279373,4.9051191,Scenic View,Brunei
39911,Art Gallery,,114.9429737,4.8868655,Art Gallery,Brunei
39912,Glass-enclosed Viewing Tower,,114.9443257,4.88426,Scenic View,Brunei
39913,Jerudong Park Bus Stop,,114.8338059,4.9353978,Tourist Attraction,Brunei
39914,Kg Bukit Puan,,114.4677469,4.5379421,Scenic View,Brunei
39915,Kg Bukit Sawat,,114.5541934,4.5251337,Scenic View,Brunei
39916,Kg Kuala Balai,,114.3208777,4.4551268,Scenic View,Brunei
39917,Kg Merugi Bungkok,,114.5543313,4.5177674,Scenic View,Brunei
39918,Kg Sungai Mau,,114.4872219,4.550096,Scenic View,Brunei
39919,Kg Ubok-Ubok,,114.5642291,4.5082277,Scenic View,Brunei
39920,Kota Batu Archaeological Park,,114.9645839,4.8821488,Archaeological Site,Brunei
39921,Luagan Lalak Main Viewpoint,,114.4752795,4.5153275,Scenic View,Brunei
39922,Luagan Lalak North Viewpoint,,114.475427,4.5157561,Scenic View,Brunei
39923,Luagan Lalak South Viewpoint,,114.4749371,4.5149324,Scenic View,Brunei
39924,Lurah Saban,,114.6685558,4.7995252,Scenic View,Brunei
39925,Menara Cendera Kenangan,,114.1965338,4.5774237,Monument,Brunei
39926,Mercu Tanda Kenangan,,114.6592405,4.8072121,Monument,Brunei
39927,Malay Technology Museum,,114.9698005,4.8832503,Museum,Brunei
39928,Oil and Gas Discovery Centre,,114.3271635,4.6171896,Tourist Attraction,Brunei
39929,Pantai Peranginan Kg Sungai Liang,,114.4853633,4.6858304,Tourist Attraction,Brunei
39930,Park Tribute,,114.4387388,4.661432,Castle,Brunei
39931,Pulau Bakuku,,114.626401,4.7871119,Scenic View,Brunei
39932,Sungai Bakiau,,114.6641322,4.7980928,Scenic View,Brunei
39933,Sungai Birau,,114.67179,4.8016001,Scenic View,Brunei
39934,Sungai Panchor,,114.6717457,4.8032668,Scenic View,Brunei
39935,Taman Jublee Perak Anduki,,114.3879241,4.6350182,Tourist Attraction,Brunei
39936,Taman Seri Warisan Emas,,114.6612371,4.815146,Monument,Brunei
39937,Teapot,,114.2198115,4.5799818,Monument,Brunei
39938,Viewpoint tower,,114.9463538,4.9033422,Scenic View,Brunei
134016,"""zero gravity"" boulder pile with temple panorama",,76.4743292,15.3252645,Scenic View,India
134017,#4500,,75.8645247,30.8661889,Scenic View,India
134018,1000 years old Banyan tree,,88.2555872,23.246565,Other,India
134019,105-feet Hanuman Statue,,76.4499977,20.8347081,Tourist Attraction,India
134020,110,,84.7318879,19.4821495,Natural Landmark,India
134021,14 Corps,,77.5749417,34.151692,Castle,India
134022,14 R(S),,78.0113696,30.2612385,Castle,India
134023,143/4,,76.3879555,15.2859643,Tourist Attraction,India
134024,15 Corps,,74.8293035,34.0759843,Castle,India
134025,16 Corps,,76.0898949,32.0571973,Castle,India
134026,1614,,93.5058617,24.9596623,Natural Landmark,India
134027,18 Steps,,78.3950617,17.3897401,Archaeological Site,India
134028,188,,77.1240538,28.6887527,Tourist Attraction,India
134029,191,,77.1244173,28.688866,Tourist Attraction,India
134030,192,,77.124289,28.6888654,Tourist Attraction,India
134031,1920 s House,,76.9844721,28.6129675,Archaeological Site,India
134032,1st stop water tour,,76.3982102,9.7786156,Tourist Attraction,India
134033,21 Corps,,77.4048671,23.2658284,Castle,India
134034,22 Vows,,79.0676829,21.1285172,Monument,India
134035,24,,73.7500528,19.940307,Historical Ruins,India
134036,2620,,76.7688072,30.7292339,Tourist Attraction,India
134037,2624,,76.7691104,30.7292093,Tourist Attraction,India
134038,3 Corps,,93.7179916,25.8669727,Castle,India
134039,3 Large Cave Rooms,,73.3994589,18.8276899,Tourist Attraction,India
134040,3 idiots movie location,,77.1755922,31.1047424,Scenic View,India
134041,3131,,76.7651536,30.7323539,Tourist Attraction,India
134042,33 Corps,,88.3168966,26.7895486,Castle,India
134043,4 Corps,,92.7971607,26.6210157,Castle,India
134044,4390,,95.5050038,29.193578,Natural Landmark,India
134045,5 Gompas,,77.6028659,34.0946496,Monument,India
