,name,description,longitude,latitude,category,country
0,Betana Wetland,"The Betana Wetland Area, also known as Betana Simsar, is a popular regional tourist attraction of Eastern Nepal located on Belbari municipality in Morang district. It is about 15 km from Itahari and can be easily reached by local vehicles or auto-rickshas. Betana wetland is at an altitude of about 123 meters above sea level and has a land coverage of 5.5 ha. This wetland features a scenic landscape including a lake, saal (shorearobusta)trees, and also is a habitat to various endangered flora and fauna of Nepal. This place is famous mainly among the local people as an ideal destination for spending some peaceful time in nature, carrying out refreshing recreational activities, boating, as a picnic spot and is also favored by couples for spending some moment together.

This wetland is designed and managed in a very attracting and captivating way to attract a same visitor more than once. Betana wetland region is also rich in its biodiversity and is home to many endangered plants and animals such as tortoise, fishes, variety of birds, and a collection of indigenous and rare flora and faunas. A zoo has been constructed inside the area and other statues and structures like bridges have been added to make the whole area more attractive. The forest area of this wetland is around 175 ha and it is a part of the popular Char Kose Jhadi jungle. The major portion of the forests is covered by saal trees, khair-sisoo trees and a mixed forest. A small portion of the forest area is filled with tombstones of the Kirati people. The huge forest area is home to different species of flora and fauna including some species that are rare in the whole world.The pond s depth varies from 0.5 to 1.5 m during the dry season to 1 to 2.5 m during the monsoon season. Fishing is strictly banned inside the terrain and feeding fish for fun is a common practice here. A glimpse of rare tortoise can be seen sometimes, if one gets too lucky. Similarly, the marshland region is home to a variety of birds species including migratory birds. A total of 49 different species of birds have been said to be reported from this wetland area. This profusion of green lush vegetation along with beautiful lake and wetland herbs and shrubs creates a captivating view while adding to the ecological importance of the region.

The opposite side of the entrance of Betana wetland houses various small food shops that provide a variety of local and delicious food items such as buff sukuti, pork sekuwa, thukpa, locally crafted beverages, etc. Inside the wetland area certain portions are divided into picnic spots, perches and restrooms. The wetland can be easily assessed as its entry ticket price costs Nrs 20 and other amenities such as boating and picnic spots reservation can also be under a fair amount not exceedingly more than five hundred.",87.4320676736534,26.6592761854919, Natural Landmark,Nepal
1,wakupati narayan,wakupati narayan temple suited at Bhaktapur suryamadi tole nearby dattatrya temple,85.4370865412056,27.6733863808043, Religious Site,Nepal
2,kushma Bungee ,jump,83.6746210791171,28.2234020036306, Tourist Attraction,Nepal
3,Gadhimai Temple,"Gadhimai temple is the temple of the goddess Gadhimai Devi located in Bariyarpur of Bara district. It lies in the southern part of the Kathmandu valley at about 160 km and 7 km east of the headquarter of Bara district in Kalaiya city near the Indian border, close to Bihar. The main shrine of the temple contains the scripture of the Goddess Kali known as the Goddess of Power. There are two small brightly painted temples under the banyan and peepal trees spreading their huge branches. The main temple is built in pagoda style with the gajur( pinnacle) on top. The temple is in the plain land of the Terai region . The main pujari (priest) of the temple are from Tharu community.Every shrine and temple of Nepal is surrounded by ancient myths, stories , religious values and legends. This temple s history is also about 250 years old when a simple and benevolent resident of the same village Bhagwan Chaudhary house was robbed ,the thieves were caught by the villagers and were killed on the spot. Bhagwan Chaudhary took the blame on his head to save his fellow villagers from the conviction. He was sent to the jail. The Goddess kept appearing in his dream demanding him to take her to the crime scene. She freed him from the prison and took him to the village where now there is an actual shrine of the Goddess. In return Goddess asked him to sacrifice 5 humans in every five year. Bhagwan Chaudhary being the kind man offered his own life being unable to perform human sacrifice. Instead he pleaded with the goddess to offer Pancha bali (a quintuple sacrifice) every five years. Therefore the World s biggest sacrifice was started in a temple.The temple is the holy and sacred place of the goddess Kali. The main festival celebrated in this temple is Dashain and the Gadhimai mela which is held every five years. The temple is quite packed with the pilgrims from the neighbouring country India. People believed that if the sacrifice is made here to the Goddess they are blessed with their wishes and good fortune. It is estimated that around 50000 animals are sacrificed during the Gadhimai mela. The mela is celebrated for around 1 month from the first week of November to the first week of December. Around 4 million people come to offer their devotions and pray during this period.We can visit this holy place with great cultural value by public transportation. We have to get the ticket to Bara from bus counters to get there or we can reserve the Scorpio to reach there.",85.0472847931087,26.9934069368576, Religious Site,Nepal
4,Thupten Monastery ,"Thupten Choling Monastery is the well-known lama Trulsik Rinpoche fled from Rongbuk Gompa in Tibet to the Khumbu region during the Chinese invasion of Tibet in 1959, followed by a significant group of followers, including anis (nuns) and monks. He spent several years residing at Chiwong and other monasteries while aspiring to return to Tibet. Finally, in 1968, Rinpoche constructed Thupten Choling on donated property close to Junbesi. The monastery needed to be carefully constructed because it started to fall apart in the 1990s. After everything, he saw the location as a temporary retreat and continued to assume that he and his followers would be able to return to the homeland. However, when Chinese dominance over Tibet grew stronger and Buddhist leaders were forbidden from leaving, Rinpoche decided to establish a permanent residence at Thupten Choling in 2001.
The demolition of the ancient structures and ceremonial preparation for the new foundation marked the beginning of Thupten Choling's reconstruction. The friends of Trulsik Rinpoche provided generous financial support from Switzerland to help construct the new monastery, which Michael Schmitz planned. Mr. Schmitz and Helen Cawley, including the architecture, supply chains, and medical services, have overseen all aspects of the project. The rebuilding of the Thupten Choling monastery officially began in the year 2001.
Currently, several hundred Buddhist nuns and monks (80% of them being Tibetan refugees) live in the Thupten Choling monastery. As dozens of newcomers join the monasteries community each year, the population of the monastery only flourishes day by day.
However, the massive earthquake in April 2015 wrecked the beautiful infrastructure. This disaster caused severe damage to the ancient structures. During the rainy seasons, the monastery residents were compelled to live in tents because some of the walls had cracks in them.
The monks had requested financial assistance from Western organizations. The monastery has recently undergone a lot of necessary repairs and modernization, using solar energy for power consumption, electric cooktops for using it in the kitchen, etc.",86.5492821112275,27.6061600721939, Religious Site,Nepal
5,Bhadrakali Temple,"
Bhadrakali Temple in Kathmandu
Bhadrakali is one of the powerful goddess of Nepal. Located near the Sahid Gate at the eastern side of Tudikhel is the temple of Bhadrakali. Also known as Shree Lumadhi Bhadrakali, the temple is considered as one of the most renowned  Shaktipith  of Nepal. A form of Goddess Kali, Bhadrakali in Sanskrit means  blessed, auspicious, beautiful and prosperous  and she is also known as  Gentle Kali . Another mane for the goddess is Lazzapith.The ancient writings in the Vayu Purana and Mahabharat explain the creation of Bhdrakali by Devi s wrath when Daksha insulted Lord Shiva during the great Ashvamedha Yagya (Horse Sacrifice). Tantra Rahasya mentions her rising from the north face of Lord Shiva, (Uttaramnaya Amnayas) which is blue in color and has three eyes.

She is often believed to take on a terrible aspect that is represented with three eyes and four, twelve or eighteen hands carrying a number of weapons with flames flowing from her head and a small tusk sticking out from her mouth.

According to the myths, a farmer used to plough some nearby land and kept his food (bread) on the side. The bread used to turn into gold so the temple got its name as Lumarhi/Lumdi Devi s temple as Lumdi in Newari means  golden bread .
It was built in the year 1817 and was previously known as  Mudule Thumpko . The temple is believed to be built after Goddess Bhadrakali told the priest to dig the hill where they found the statue of the goddess. Since then, the temple lies there and is protected by Nepal Army. It overlooks the Singha Durbar, Prime Ministerial office, on the eastern side.

According to another legend, a tantric practitioner named Saswat Bajra went to Kamaru Kamachya in India and worshipped Shri Bhadrakali. The goddess was happy with him and came to Nepal with him in a holy water pot (a Kalash). He went to run some errands hanging it on a tree at Jamal on the northern side of Rani Pokhari. But Kalika took the form of a small girl and walked away. A farmer met her on his way to the field and questioned her but she fell asleep at the same spot and he went away. He could not find her when he returned but saw Kalika s incarnation instead. Then, Saswat Bajra also saw the goddess and the place was established as the temple of Bhadrakali.

King Ratna Malla started the Astamatrika and Bhadrakali dance together which takes place every twelve years. Also on April 10th, there is a Bhairav Bhadrakali Jatra every year. People come to the temple with the hope of getting their wishes fulfilled. Often marriage ceremonies take place here and also the families sometimes use it as the picnic spot. Maximum number of devotees throngs to temple during Dashain and Ghode Jatra.

Amidst the chaos of the center of the Kathmandu city, one can definitely experience peace of mind at the courtyard of Bhadrakali temple.",85.3168548457325,27.6992766284371, Religious Site,Nepal
6,Kasthamandapa,"This architectural marvel of Nepal, locally known as Maru Sattal, built in pagoda-style architecture and believed to be made out of a single tree, collapsed during the 2015 earthquake. The initial attempts at its reconstruction were put off due to protests from public and conservationists demanding originality. The rebuilding has now kicked off and will certainly be completed by 2021.

It is believed that Kathmandu got its name from Kasthamandapa, which may have been built in the 7th century, the oldest temple built in the Lichhavi period - proving its historical significance",85.3058889694512,27.7039101134021, Historical Ruins,Nepal
7,Dahare Deurali,"It is one of the greatest religious temple of Parbat district of Nepal.It is presumed that devi vagwati one had lived in this place and did Puja and meditation.Dahare deurali is at 2266 m height from sea level. From this place,two famous mountain of Nepal: Dhaulagari and Annapurna is seen.Not only mountains all the district is seen from this place.Still 3-4 saints live here and conduct Puja and meditation every day.According to local people many of the divine saints are believed to live here.The weather always remains extreme here.Always strong wind blows here will the touch of god.You will feel some divine power in Dahare deurali.",83.7436188943684,28.1484270822721, Religious Site,Nepal
8,Bote Bora Pvt ltd ,"""Bote Bora offers a Speed jet boat journey for the whole family, from 5 to 93 (and up!). We promise an exhilarating ride of spins, squeals and peals of laughter with the odd splash of pure white water spin. And there's nothing wrong with getting a bit wet when you're having this much fun!""",84.4169013015926,27.6965160466318, Tourist Attraction,Nepal
9,Davis Fall Pokhara,"Forming a tunnel of around 500m reaching the bottom, Davis Fall is an extraordinary waterfall with its natural phenomenon. It was named so because a swiss couple Davi when were swimming the female drowned there and on her father request , it was named Davis fall called  Patale chhago . This is one of the most visited places in Nepal.After exiting the tunnel, the water passes through a cave called Gupteshwor Mahadev Cave or  cave beneath the ground . The Phewa Lake dam is the water source. The cave also acts as a tourism site because it has complex designs and people even forget the way inside the cave. ????????????

The falls are located right before the Tashi Ling Tibetan Camp on the road that leads to Butwal. You can either hire a taxi or take a bus from Phewa Lakeside to arrive at the falls. To make your trip a little more venturesome and to experience the town s beauty at its best, you can also rent a bike or a scooty to reach the attraction.

It was on July 31, 1961, when a Swiss couple Davi made their visit to this enchanting place

Grab your camera and head to Devil s fall, known locally as the Patale Chhango. This beautiful waterfall is located about 2 kilometres south-west of the Pokhara Airport on the Siddhartha Highway.

",83.958663828671,28.1892450356684, Natural Landmark,Nepal
10,Shiva Statue,"Shiva Statue Pumdikot is one of the major attractions of Pokhara Sightseeing. Nepal s Tallest Lord Shiva Statue in Pokhara is the emerging local attraction for domestic and international travelers. The Shiva Statue in Pumdikot was built in Mathura of India and then brought here in Nepal and installed. Pumdikot Shiva Statue is located in the southern part of Pokhara at an elevation of 1500 meters from sea level. Another attraction of Pumdikot Shiva Temple is Shiva Damaru which is the biggest in Asia.The height of the Shiva Statue in Pumdikot is 108 feet tall and the statue itself is 51 feet. There are 108 Shiva Linga around the statue in the temple. Nepal is a country where 90 % of the country s population is Hindu and the construction of this Shiva temple can help to boost religious tourism. It is expected that a large number of travelers will visit Pumdikot Shiva Statue.

Besides the religious perspective, a large number of domestic travelers used to travel to enjoy the beauty of nature. You can enjoy the magnificent view of the Annapurna Range mountains along with Manaslu Himal. Mountains like Mt Machhapuchre, Mt Dhaulagiri, Mt Annapurna, Mt Himchuli, Mt  Mardi, and more can be enjoyed from Pumdikot Shiva temple premises on a clear day.

How to reach Shiva Statue Pumdikot?
There are major two ways to reach Shiva Statue Pumdikot. You can take a drive from Lakeside, Pokhara which is a populistic tourist destination, or plan for a day hike to reach this popular tourist destination.

Drive: Rent a car in Pokhara or take a bus that leaves for Syanjha to reach the temple. The distance from Pokhara to Shiva Statue Pumdikot is approx 10.5 km which takes around 30 minutes to reach by private transfer and 50 min in local transfer. And if are taking Kathmandu Pokhara Bus then you also can take a car to reach Pumdikot from the bus station directly. 

Hiking: If you have a free day then hiking is a great way to explore this place. Hiking from Pokhara to Pumdikot Shiva temple takes around 2 hours to reach. Explore the surroundings and again hike back to Pokhara with an amazing vie and beauty of nature.",83.9293813146651,28.1993755403644, Monument,Nepal
11,RaniPokhari,"Chakrawatendra Malla, the newly crowned king of Nepal, is tragically killed by an elephant on the day of his coronation. His heartbroken mother, Queen Ananta Priya Devi, demands that King Pratap Malla, Chakrawatendra's father, build a beautiful pond to soothe her grief.
Pratap Malla, consumed by his own sorrow, seeks the help of Swami Gyanananda to design and bless the pond. They envision a grand project, drawing water from 51 sacred sources and utilizing canals to create an oasis of calm outside the city gates.
Driven by grief and a desire to honor his queen, Pratap Malla embarks on building the most magnificent pond in Nepal Valley, hoping it will one day stand as a testament to his love and loss.",85.3157221153378,27.707686728287, Historical Ruins,Nepal
12,Taragaun Museum,"The Taragaon Museum is a private museum located in Kathmandu. It is located in the northern part of the city near the Bouddhanath stupa.It is situated on the ground of the Taragaon Regency hotel, which owns the museum. The museum is supported by the Saraf Foundation. The museum features a permanent collection in three of its building and a contemporary art gallery.
The permanent exhibition is titled ""ARCHIVING FOR THE FUTURE"" which is a curated display that explores the juncture of time, architecture, and archives documented through memory and people and highlights the role of archiving in preserving and promoting our shared heritage for future generations.
The Nepal Architecture Archive (NAA), officially founded in 2016, is housed on the sprawling premises of the Taragaon Museum. This growing and versatile archive with rare photographs, books, surveys, blueprints, objects, and invaluable notes serves as readings of Nepal's fast-changing urban landscapes and cultural nuances. Documented over the years by numerous international and local visiting scholars and artists, the archive houses collected and donated material by over a hundred contributors whose research maps histories of varied architectural elements and materials for future understanding and documentation.
Niels Gutschow curated a collection of works by architects, anthropologists, artists, cartographers, engineers, photographers, planners, researchers, and advisors to the government for public viewing across the seven buildings of Carl Pruscha's Taragaon Hostel, converted into the Taragaon Museum in 2014. The fascinating architectural structures with their brick walls, niches, and large round windows proved to be a space that spurred curiosity in the direction of the architectural archive to understand Nepal's (primarily Kathmandu Valley) architectural landscapes and the changes it has undergone over the past few decades. The earlier exhibition display focused on academically highlighting photographs, etchings, maps, plans, and drawings. Taking a cue from these elements, this show of the permanent collection of NAA aims to open up access to a broader audience who will, over time, become the keepers and future contributors of the archive and the conveners of their museum, and their histories and futures at Taragaon Next.",85.3561748564243,27.7201965231151, Art Gallery,Nepal
13,Muktinath Temple,"Muktinath is a Vishnu temple, sacred to both Hindus and Buddhists. It is located in Muktinath Valley at the foot of the Thorong La mountain pass in Mustang, Nepal. It is one of the world s highest temples. The site is close to the village of Ranipauwa, which is sometimes mistakenly called Muktinath.Situated at an altitude of 3,710 meters (12,172 feet) at the base of the Thorong La mountain pass in the Mustang district, Muktinath is a highly venerated sacred place for both Hindus and Buddhists.Hindus call the site Mukti Kshetra, which literally means the  place of salvation  and it is one of the most ancient temples of the God Vishnu and the Vaishnava tradition in Nepal. The shrine is considered to be one of the eight sacred places known as Svayam Vyakta Ksetras (the other seven being Srirangam, Srimushnam, Tirupati, Naimisharanya, Totadri, Pushkar and Badrinath), as well as one of the 108 Divya Desam, or holy places of worship of Lord Vishnu. Additionally, it is also one of the 51 Shakti Pitha goddess sites.For Hindus, Muktinath Temple is one of the 108 Divya Desams or holy abodes of Lord Vishnu, the god of preservation. It is believed that a pilgrimage to this sacred site can help to break the cycle of birth and death (samsara), granting salvation (moksha) to the devotees. In addition, Muktinath is one of the eight most sacred shrines in the Hindu tradition, known as the Swayam Vyakta Kshetras, where Lord Vishnu is said to have manifested himself. Devotees visiting the temple often take a ritual bath in the 108 sacred water spouts, known as Mukti Dhara, and the two holy ponds, Mukti Kunda and Saraswati Kunda, to cleanse themselves of sins and achieve spiritual purification.For Buddhists, particularly those following the Vajrayana tradition, Muktinath Temple holds great importance as one of the 24 Tantric places where the guru Padmasambhava, also known as Guru Rinpoche, is believed to have meditated. The presence of the temple within the Annapurna Conservation Area, which is home to numerous ancient Buddhist monasteries, further solidifies its significance within the Buddhist tradition. Buddhists believe that visiting Muktinath can help them attain spiritual enlightenment and progress on their path to achieving Buddhahood.

The harmonious coexistence of Hindu and Buddhist beliefs at Muktinath Temple is a testament to the shared spiritual heritage and mutual respect between these two ancient religions. This unique blend of religious significance, combined with the temple's awe-inspiring natural surroundings, makes Muktinath a truly special pilgrimage site for devotees from all walks of life.",83.8717962987721,28.8169466467979, Religious Site,Nepal
15,Gupteshwor Mahadev,"History of the Gupteshwor Mahadev Cave

The cave was allegedly discovered in the 16th century by some local men who stumbled upon it when clearing some grass. Within the dark cave they discovered many shrines and statues dedicated to Shiva and other Hindu deities. These included Mahadev and Parvati, Nageswor and Saraswati. Towards the read of the cave the men discover that a waterfall ran through it. Further inspection revealed to them that the water fall came from Patale Chhango (later known as: Davis falls).

Outside the Gupteshwor Mahadev Cave

Before you even enter into the cave itself there are things to see. After walking through the roadside archway you ll have a dozen or so souvenir stalls to peruse. Though you will probably be better off buying in Lakeside or better yet Kathmandu. Before the ticket counter is a a round concrete balcony of sorts. It gives you a close look at the cave entrance and the statues leading up to it. After you buy you ticket you will will enter down the large spiral staircase. It s here where you ll see many modern statues and plaster works depicting everything from semi-clad ladies to bearded men and Nepali deities. There seems to be a take on some of the Kathmandu Valley s erotic carvings here as many of the sculptures are of a sensual nature.

Inside the Gupteshwor Mahadev Cave

As you enter the cave you ll discover how dark it is inside. There is lighting but it s only a series of small light bulbs. A head torch comes in handy as you descend a little to the first unusual sight. A cow shed. While primarily a religious site, the cow is a statue over a Shiva lingam. It s being developed more as a tourist attraction these days.You are free to enter inside the small little tunnel like shed. If you leave a donation you can receive a drink of milk. Though you might have to ask for it too. There is no live cow. Continuing on the 40 or so meters down the cave passing other small statues and shrines you ll come across the main Shiva temple which has a strict rule about no photography. There are guards or caretakers watching out for this. Continue on past the temple to the second part of the cave which is about 140 meters in length. Here the walls open up and you can see some nice colors in the cave walls. Further again and you ll come across a metal staircase leading downwards. You ll hear the waterfall ahead from here. This part is often closed during the monsoon season. Do be careful as the staircase and ground is quite slippery. Once you have descended the staircase you will have to walk across some uneven rocky ground until you get to an area with a view of the waterfall.",83.9572321996093,28.1894282515503, Religious Site,Nepal
16,Hanuman Dhoka,this is old heritage site located in basantapur,85.3065125830472,27.7042218308531, Historical Ruins,Nepal
17,Kakre Bihar,"A small hillock in the middle of Surkhet valley, Kakre Vihar is home to ruins of a 12th-century stone temple, which shows that the people of the region practiced Hinduism along with Buddhism. The carved stones and bronze statues reflect the images of Buddha and many Hindu Gods and Goddesses including Saraswati and Ganesh. Embracing an amazing view of Birendranagar, this beautiful place continuously ranks as one of the most important tourist destinations. Thousands of people come to this area for religious purposes as well as to experience the rich atmosphere of nature.",81.620507966727,28.562976003552, Archaeological Site,Nepal
