,name,description,longitude,latitude,category,country
0,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,"<p>The cultural landscape and archaeological remains of the Bamiyan Valley represent the artistic and religious developments which from the 1st to the 13th centuries characterized ancient Bakhtria, integrating various cultural influences into the Gandhara school of Buddhist art. The area contains numerous Buddhist monastic ensembles and sanctuaries, as well as fortified edifices from the Islamic period. The site is also testimony to the tragic destruction by the Taliban of the two standing Buddha statues, which shook the world in March 2001.</p>",67.82525,34.84694,Cultural,Afghanistan
1,Minaret and Archaeological Remains of Jam,"<p>The 65m-tall Minaret of Jam is a graceful, soaring structure, dating back to the 12th century. Covered in elaborate brickwork with a blue tile inscription at the top, it is noteworthy for the quality of its architecture and decoration, which represent the culmination of an architectural and artistic tradition in this region. Its impact is heightened by its dramatic setting, a deep river valley between towering mountains in the heart of the Ghur province.</p>",64.51588889,34.39641667,Cultural,Afghanistan
23,Monasteries of Haghpat and Sanahin,"<p>These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two monastic complexes represent the highest flowering of Armenian religious architecture, whose unique style developed from a blending of elements of Byzantine ecclesiastical architecture and the traditional vernacular architecture of the Caucasian region.</p>",44.71028,41.095,Cultural,Armenia
24,Monastery of Geghard and the Upper Azat Valley,"<p>The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surrounded by towering cliffs at the entrance to the Azat Valley.</p>",44.818525,40.140439,Cultural,Armenia
25,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,"<p>The cathedral and churches of Echmiatsin and the archaeological remains at Zvartnots graphically illustrate the evolution and development of the Armenian central-domed cross-hall type of church, which exerted a profound influence on architectural and artistic development in the region.</p>",44.29514,40.15931,Cultural,Armenia
53,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,"<p>Built on a site inhabited since the Palaeolithic period, the Walled City of Baku reveals evidence of Zoroastrian, Sasanian, Arabic, Persian, Shirvani, Ottoman, and Russian presence in cultural continuity. The Inner City (Icheri Sheher) has preserved much of its 12th-century defensive walls. The 12th-century Maiden Tower (Giz Galasy) is built over earlier structures dating from the 7th to 6th centuries BC, and the 15th-century Shirvanshahs' Palace is one of the pearls of Azerbaijan's architecture.</p>",49.83333333,40.36666667,Cultural,Azerbaijan
54,Gobustan Rock Art Cultural Landscape,"<p>Gobustan Rock Art Cultural Landscape covers three areas of a plateau of rocky boulders rising out of the semi-desert of central Azerbaijan, with an outstanding collection of more than 6,000 rock engravings bearing testimony to 40,000 years of rock art. The site also features the remains of inhabited caves, settlements and burials, all reflecting an intensive human use by the inhabitants of the area during the wet period that followed the last Ice Age, from the Upper Paleolithic to the Middle Ages. The site, which covers an area of 537 ha, is part of the larger protected Gobustan Reservation.</p>",49.375,40.125,Cultural,Azerbaijan
55,Historic Centre of Sheki with the Khan’s Palace,"The historic city of Sheki is located at the foot of the Greater Caucasus Mountains and divided in two by the Gurjana River. While the older northern part is built on the mountain, its southern part extends into the river valley. Its historic centre, rebuilt after the destruction of an earlier town by mudflows in the 18th century, is characterized by a traditional architectural ensemble of houses with high gabled roofs. Located along important historic trade routes, the city's architecture is influenced by Safavid, Qadjar and Russian building traditions. The Khan Palace, in the northeast of the city, and a number of merchant houses reflect the wealth generated by silkworm breeding and the trade in silk cocoons from the late 18th to the 19th centuries.",47.1875,41.20333333,Cultural,Azerbaijan
56,Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,"This cultural landscape is comprised of the high-mountain Khinalig village in northern Azerbaijan, high-altitude summer pastures and agricultural terraces in the Greater Caucasus Mountains, winter pastures in the lowland plains in central Azerbaijan, and the connecting 200-kilometre-long seasonal transhumance route called Köç Yolu (“Migration Route”). The village of Khinalig is home to the semi-nomadic Khinalig people, whose culture and lifestyle are defined by the seasonal migration between summer and winter pastures, and who retain the ancient way of long-distance vertical transhumance. The organically evolved network including ancient routes, temporary pastures and camping sites, mausoleums, and mosques illustrates a sustainable eco-social system adapted to extreme environmental conditions.",48.8854,40.7059,Cultural,Azerbaijan
57,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,"<p>Qal’at al-Bahrain is a typical tell – an artificial mound created by many successive layers of human occupation. The strata of the 300 × 600 m tell testify to continuous human presence from about 2300 BC to the 16th century AD. About 25% of the site has been excavated, revealing structures of different types: residential, public, commercial, religious and military. They testify to the importance of the site, a trading port, over the centuries. On the top of the 12 m mound there is the impressive Portuguese fort, which gave the whole site its name, qal’a (fort). The site was the capital of the Dilmun, one of the most important ancient civilizations of the region. It contains the richest remains inventoried of this civilization, which was hitherto only known from written Sumerian references.</p>",50.52722222,26.23306,Cultural,Bahrain
