Name,Location,Nearby,Description
Shree Vishwokarma Agam Chhen; The Terracotta Window House of Bhaktapur,"Tuchimala Road, Bhaktapur
27.6738883, 85.4306298","Tadhuchhen Bahal
258.92 m
Taumadhi Square; a place that holds an image of the entire Bhaktapur
298.43 m
Chuma Ganesha Temple
73.09 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
506.48 m","Shree Vishwakarma Agam Chhen, located at Tuchimala tole of Bhaktapur is one of Bhaktapur’s most distinctive architectural structures. After building the Nyatapola temple, the Awal people are reported to have built the Agam Chhen.
The most unusual aspect of its building is that, unlike any other wooden window, it has a window constructed of clay. That window is also known as Tellikata jhyal, which translates to “clay window.”
The architecture is said to be 318 years old, which corresponds to the age of the Nyatapola temple.
Furthermore, the architecture was recently rebuilt and launched. This is the second time it has been renovated. It is reported that it was initially renovated after the 1990 earthquake.
However, there appear to be planning to showcase it as one of Bhaktapur’s museums."
Aadipadma Mahavihar,"Suryamadhi Tole, Bhaktapur
27.6733111, 85.4352705","Dattatraya temple; the only shrine, devoted to Dattatraya in Nepal
47.69 m
Wood carving museum of Bhaktapur, Nepal
27.08 m
Wakupati Narayan Temple, Bhaktapur
184.55 m
Dattatraya Square: a dignitary destination for Aesthete
21.73 m","Aadipadma Mahavihar is one of Bhaktapur’s oldest Vihars. Despite the lack of documentation detailing its origins, it is commonly referred to as Bhaktapur’s Jetho Vihar, which means “older one.” The vihar was referred to as Tombaha or Tungbaha in Rajbamsawali.
This Mahavihar is the place where both the Panchara (Pancha dan) and Samyak Mahadan begin. During Mohani, a kumari is also set up in front of this Vihar. All of this just demonstrates the location’s antiquity and historical significance.
Moreover, during Panchadan, all five Dipankar buddhas are welcomed at Aadipadma Mahaihar after gathering at Suryamandhi’s dabali (platform). Only after which, does the panchadan procedure begin.
The Vihar is located in Suryamadhi’s Taulachhen tole. Suryamadhi’s south-western corner has a short alley that leads directly to the vihar."
Lokeshwor temple of Bhaktapur,"Bhaktapur Municipality, Bhaktapur District, Nepal.
27.6720761, 85.4253176","Jetha Ganesh Temple
330.26 m
Gunakriti Mahavihar
3.95 km
Bhaktapur Durbar Square: One Open Museum Of Nepal
58.71 m
Bhajyapukhu of Bhaktapur
440.14 m","Bhaktapur’s Lokeshwor temple, also known as Karunamaya, is a gorgeous temple located within the municipal limits of Bhaktapur. The temple is surrounded by local homes, moreover, the temple’s backside is rather attached to a house too.
Legend has it that when Lichhavi King Narendra Deva was ready to introduce Rato Machhindranatha (Lord Karunamaya) to Nepal, it was determined to establish one of the three designated locations. The contemporary Lokeshwor temple, Silu Mahadeva (Phasidegal), and Aankha Bahal were those three locations.
These locations are claimed to have been picked by a bird who was thought to be Lord Karunamaya’s emissary. The entire procedure was carried out under the auspices of tantrism.
As a result, these sites were regarded as the holiest. When the task of establishing Karunamaya was not completed, Baladeva, King Narendra Deva’s son, established a Padmapani Lokeshwor there.
Padmapani Lokeshwor is a Hindu god who appears to always be holding a lotus in his palm. He is also known as the Lashkar dyo (Laska dyo) and Bhaktapur’s Karunamaya.
The Jet Varna vihar is another name for it. It has Gaju Chaityas, Khamba Chaityas, Bajra Khatu Chaityas, Dharma Khatu, Vimba, Lokeshwor, and Dharma Dhatu Mandir on its premises.
Reference legend: Ganesh Ranjeet"
Indra Varna Mahavihar (Inabaha),"Inacho, Bhaktapur.
27.6723734, 85.4341177","Mangal Dharmadweep Mahavihar (Jhaur Bahi)
100.95 m
Hanuman Ghat (Khorhe) of Bhaktapur
325.69 m
Dattatraya Square: a dignitary destination for Aesthete
174.72 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
808.82 m","Indra Varna Mahavihar locally called Inabaha and Indra Varta Mahavihar is one of the important Mahavihar of Bhaktapur. It is assumed that in N.S.741 when King Jagarjyoti Malla was ruling over Nepalmandal, Devsingha Buddhacharya bought land from Hari in Badimangal Yugtole and made the Vihar.
In the names of the erectors, Dev Singh, Jaya Singha and Melu Singha’s names come first. And the very same Devsingha also established a statue of Dipankar Buddha in N.S.749 in the name of his son Devadas.
There is also the image of Pragyaparamita and Avalokiteshwora on the right and the left side of the main deity, Achhobhya Buddha.
The vihar is also famous for a certain event named Barhe Chukegu. It is a part of the traditional Buddhist Chudakarma ritual where the boys of Bajracharyas and Shakyas go through Acharya Abhisheka. The event is more likely considered as a Tantric in grace rite that qualifies any Bajarcharya to become a priest.
During Gunla, daily bhajans (singing hymns ) are regulated there.
However, the torans of the vihar is in bizarre conditions. There are no images of the replicated deity in it. Besides, the architecture of the vihar also seems devastated by the 2015 earthquake. Even though there are people living there.
Indra Varna Mahavihar (Inabaha)
Nevertheless, the temple-like architecture at the top of the building with two Pattas (Patah) hanging around it gives quite a traditional taste. Also, the wall paintings are abnormally beautiful."
Mangal Dharmadweep Mahavihar (Jhaur Bahi),"Golmadhi, Bhaktapur Municipality.
27.6723637, 85.4330929","Dipankar Mahavihar
288.11 m
Dattatraya Square: a dignitary destination for Aesthete
256.73 m
Bhimsen temple of Bhaktapur: the temple of trade master
207.52 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
707.92 m","Mangal Dharmadweep Mahavihar, which is located in Bhaktapur’s Golmadhi tole, is also known as Jhaur Bahi. In this Vihar, one of the five Dipankar Buddhas can be found.
Mangal Dharmadweep Mahavihar (Jhaur Bahi)
The Pauva arts are displayed here at Gunhi Punhi. This Vihar was constructed in the 13th century. Later, Jibtaj Bajraacharya’s descendants from Tadhichhen Baha renovated it (Tadhuchhen Bahal).
This Bahi, like the others, has a rectangular courtyard with modest chaityas. It also features the artwork of many Buddhas on its walls. Normally, the passage is less congested. During Samyak Mahadan, Pnchadan, and Gunla Parva, however, the site is packed with worshipers."
Dipankar Mahavihar,"Kwathandou, Bhaktapur.
27.6748852, 85.4337626","Salan Ganesh Dyo Chhen; the Agam Dyo chhen
133.23 m
Dattatraya Square: a dignitary destination for Aesthete
222.16 m
Bhimsen temple of Bhaktapur: the temple of trade master
188.88 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
833.97 m","Located inside a barely walked alley between Kwathandou and Bekhal, Dipankar Mahavihar is the home of one of the Dipankar Buddhas of Bhaktapur. He is supposed as the main Dipankar Buddha, thus after him, the vihar is named.
The statue of Dipakhar Buddha at Dipankar Mahavihar
As per the available scriptures, it was built in N.S. 750. And, fortunately, it is still in good condition, able to perform daily worshipping rituals and participate in Panchadan and Samyak Dan like holy events.
Beside Dipankar Buddha, there stands a statue of Mahankal, Manjushree, Ganesh and Shiva-Parvati, in this Mahavihar tagging the Red Tara. Some folk legends mention that Tara used to speak and was kept inside the bar while she was trying to leave the place.
That is why many Tibetans and people from the Himalayan regions often pay a visit to this place.
The temple of Red Tara at the premises of Dipankar Mahavihar
The Mahavihar, however, is also come to know as the home of Kumari of Bhaktapur. Each year, during Dashain, the living goddess Kumari resides here for 15 days.
Although, there is not much movement in the area, when you cross upon that road, a fragrance of incense steal away your attention. There is peace in the air.
While analyzing the spiritual values of that Mahavihar, one cannot just ignore the architectural form. The combination of the temple and local residents seems quite distinct yet attractive. The struts are as beautiful as the other wooden pieces of Bhaktapur. They are well carved and presented.
Dipankar Mahavihar
Likewise, there are Dharmadhatu Chaitya, Bajradhatu Chaitya, Khamba Chaitya, Gaju Chaitya, a hymning place (Sattal) with some fascinating paintings and a stone conduit on its premises. It’s a place worth visiting although the presence of local residents make you feel quite awkward, at first.
Chaityas and Sattal at Dipankar Mahavihar"
Jayakriti Mahavihar (Thathu Bahi),"Itachhen, Bhaktapur.
27.6728031, 85.4218875","Siddha Pokhari; the biggest manmade pond of Bhaktapur
253.63 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
404.78 m
Bhajyapukhu of Bhaktapur
249.05 m","Jayakriti Mahavihar, also known as Thatu Bahi is one of the most prominent vihars of Bhaktapur. Each year, Samyak Panchadan like-substantial event takes place over there.
It is located at Itachhen, on the western arena of the Na: Pukhu (Guhyepokhari of Bhaktapur). A two-storeyed building made out of a traditional Nepalese style (currently functioning as a Shree Gyan Bijaya Primary School) is also the house of one of the Dipankar Buddhas of Bhaktapur.
There is a beautiful courtyard inside the building where one can find small chaityas and stupa along with exquisite wood’s working and the image of Padmapani Lokeshwora, the central deity of the Bahi.
The vihar is placed in the highland, that’s why it is called thatu Bahi.
The vihar, as mentioned in the inscriptions and scriptures ascertains that it is way older than other vihars. The presence of two Chaityas and a gate with Panchabuddha summarises that it was made in the Lichhavi era.
There is even some chatter saying Na: Pukhu was later made on the land of Thathu Bahi.
It is said that the vihar was also renovated by King Jitamitra Malla and Ugra Malla after Jaya Ratna Bajracharya, who was a member of Chatur Varna Mahavihar.
The mentioned date when Jaya Ratna Bajracharya renovated it was N.S.794 and only after that, the Thatu Bahi was started to call Jayakriti Mahavihar. Moreover, it still seems to be in a good condition."
Chuma Ganesha Temple,"Chochhen, Bhaktapur.
27.674545, 85.430603","Tadhuchhen Bahal
323.63 m
Taumadhi Square; a place that holds an image of the entire Bhaktapur
362.18 m
Pottery Square of Bhaktapur: the ground of clay arts
604.52 m
Jetha Ganesh Temple
565.61 m
Dattatraya Square: a dignitary destination for Aesthete
484.23 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
537.48 m","The uniqueness of this city never disappoints you especially when it comes to the name of places and temples. The Chuma Ganesha temple, designated as the very first Ganesh temple of Bhaktapur somehow, too falls in such fanciful legends and in weird naming.
Being located in Chochhen tole of Bhaktapur made it geographically the temple situated in the upper part of the Bhaktapur Nagara. It is said that Chochhen originally came up after the term Choye Chongu Chhen which means the house of the upper part.
Chuma Ganesh temple, on the other hand also has its own legendary story. Even the origin of its name has a story. It is said that the rats of that area beyond their nature scared the cats. And when someone tries to investigate the matter, they found out the image of Lord Ganesh.
Chuma Ganesha
Legends say that the name Chuma is derived from the term Chu and Ma which respectively means the rat and line. Thus, assuming Lord Ganesha worshipped by the large line of mice, the name of the temple began to be called Chuma Ganesha.
However, there is one more story that is slightly different from the aforementioned yet the core story of being rats powerful is the same. As per the story, when the king saw a fight between cat and rat and saw cat losing into the rat. He got amazed and follow the rat. There he found the Chuma Ganesh.
After being blessed by him, he was also told that there is Bhadrakali in the south of the area. And he should go there and worship her. The king as ordered went there and worship her. Being pleased by the king, she then gave him instruction to build a nagara in between these two areas; Chuma Ganesha and Bhadrakali temple.
Next, the king establishes the Bhaktapur Nagar along with the first Ganesh temple, Astamatrikas and Astabhairavas.
Besides, the architecture of the temple is likewise quite unique. Although it is a pagoda-style temple, its false tire has multiple layers like design which indeed is unique and satisfactory for the eyes.
Chuma Ganesha Temple"
Salan Ganesh Dyo Chhen; the Agam Dyo chhen,"Dattatreya Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.673937, 85.434589","Wood carving museum of Bhaktapur, Nepal
118.71 m
Wane Layaku
95.58 m
The existence of Laxmi Narayan temple in Dattatraya Square
49.41 m
Salan Ganesh Temple and the pond
51.07 m
Dattatraya Square: a dignitary destination for Aesthete
91.98 m","Salan Ganesh Dyo Chhen is the god house of Salan Ganesh Temple. However, it is more famous as Agam dyo chhen than the dyo chhen.
The dyo chhen of Salan Ganesh is an exceptional architectural illustration. Unlike other dyo chhen (god’s house), which looks more like a residence but this dyo chhen owns some features matching the temple. Equivalently, it’s rare to find double torans even in temples too. Besides a pinnacle (Gajur) and beautiful carvings over struts, windows and doors made it more of a diversion to the orbs.
Agam dyo chhen
PC: Praz Santt/bhaktapur.com
The flanking stone lions’ home although is declared a world heritage site, yet we are not allowed to observe the interior. Because it still remains occupied by the local resident thus it’s not open to the public.
About the age of the dyo chhen, there is no exact record regarding its erection yet there are some guesses which tells us that it might have been built when the Salan Ganesh temple was built. It somehow makes sense too. Considering, the dyo chhen is of Salan Ganesh temple, it could have been built during the same time period.
The struts and the carvings
PC: Praz Santt/bhaktapur.com
Moreover, the famous architect Mr Wolfgang Korn also remarks that it may be incorrect to describe buildings of this type as temples because they are called even on Newari Dyochhens, which means god’s house. However, only the replica of god is quartered over there.
Well, it’s quite easy to find this architecture foregoing the parade of local residences. On the northern alley of Salan Ganesh puku, the last building to the very west is the dyo chhen of Salan Ganesh Temple.
References-
orientalarchitecture.com"
Aesamari Sattal of Taumadhi Square,"Taumadhi Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.671034, 85.429155","Nyatapola Temple: the tallest pagoda style temple of Nepal
42.06 m
Pottery Square of Bhaktapur: the ground of clay arts
214.49 m
Bhairavanath temple; the most reputable and darkest temples of Bhaktapur
35.96 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
339.62 m","Many of you might have heard about the word Aesamari Sattal and some might know which exactly the architecture is. Aesamari Sattal is non-other than that building, which resides right in front of the Nyatapola temple where “New Cafe Nyatapola” exists.
That building was said to be used by the priest who came to Bhaktapur, especially for the Biska Jatra. Also, the building was said to be the house of the essential elements of the biska jatra festival. 
There are numerous stories related to this particular building. It is said that there used to be a puja each year during Biska jatra in the Taumadhi square. That puja was specially held for the salvation of those spirits who had an unfortunate death. And the sages were said to make the big bread (roti or mari) in this particular place, thus it started to be called Aesamari Sattal.
Moreover, Aesamari Sattal is also unique in the aspect of depicting exceptional woodcarvings. Especially the erotic carvings. In the struts of this building, we can see numerous characters and their actions, beautifully depicting the then lifestyle.
Erotic carving at Nyatapola cafe PC: Praz Santt/Bhaktapur.com
You can check out more carvings like this on the Erotic carvings on the architecture of Bhaktapur."
