Place,Reviewer Name,Reviewer Link,Reviewer Image,Rating,Date,Text,Photos,Likes Count
Bhaktapur Durbar Square,Yuval Oz,https://www.google.com/maps/contrib/102086519544627596193/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocLJPugNN3Cj8G7xchCJOLH_sHgL4SunDpHzg-d5DuIth5hgwg=w36-h36-p-rp-mo-ba3-br100,5,3 weeks ago,"This is an ancient area of ​​the royal palace. The palaces have art exhibits from different periods, stone sculptures, wood, and paintings. I prefer to walk around without a guide, and take my time in the historical atmosphere around me on my own. At the end of the  square tour itself, it is worth going out to the nearby alleys, which also belong to the UNESCO project.","https://lh5.googleusercontent.com/p/AF1QipOSO8-Al8fR4XgtIkogbH3Giu9UuN2u8MGBdJ3h=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOx-8Klo7SjUmjXcNiR4bMKocYSPHHF30jIJGPA=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNlJcVa5vD1mIclsGR61wop1MKGiOGR2m0sDJYJ=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNFXVkj45HzSEf0zcHTu5n8mbYbXkeNPg880WEB=w300-h225-p-k-no",0
Bhaktapur Durbar Square,Adam Lloyd,https://www.google.com/maps/contrib/111243789032514914342/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjU1iI-PsKHK-7Rvog2W2pc9mqnSPTioNh0fV1fsz55Jia7O9Mmn=w36-h36-p-rp-mo-ba4-br100,4,a month ago,"Bhaktapur lives up to the hype with regards to architecture and history. Well worth exploring, and if you can afford it grab a local guide to take you around and explain some of the finer details. Would suggest two hours minimum to explore, so bring your trekking shoes and make sure you've had your coffee prior (however there's plenty of shops on-site in case you need a top-up!)","https://lh5.googleusercontent.com/p/AF1QipMKiuuCEROeHNqWGJuM00tVhZVsuqklLcLeFtXR=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipN1i1kQGs9nEJxRF38Q3RaGYlIKs5l5lfEOritM=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOi9BwyUQBxAraoex1ByNnr4B-smE9K8NPLcExP=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOFtBPZ3WV-P8-rRi3UbKrc3cObAVbJboAWut3r=w300-h225-p-k-no",1
Bhaktapur Durbar Square,Ahana Sengupta,https://www.google.com/maps/contrib/116995157532545519122/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocJO7rD7ECEZoCO8fd1jdRd1_L3XIHWlxttwVtIcMO2cG7_gtA=w36-h36-p-rp-mo-ba3-br100,5,a month ago,"Feels like a travel back in time with traditional architecture at every corner you look at. This place is a must visit when in Kathmandu. A lot to see and explore, we could cover only a few spots due to time constraints but it was a wonderful experience.","https://lh5.googleusercontent.com/p/AF1QipOazeQkbrNh7pm3vCZW9RONQF9FRFcPDxXRNopU=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO3VmEym9IB-Mera6ntuZiHob3VX7py2aIfoqDc=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMLhSNHwZQ-4VeLqSyRl0-_fN0Lrxs724hMOysm=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNJsmeAkV45QxpBy9B61uyIiRQB3tt_wXy-_6br=w300-h225-p-k-no",0
Bhaktapur Durbar Square,Biswajit Saha,https://www.google.com/maps/contrib/112520724338923926510/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjVfHIroOR6oasFEGkY-4lhY92EYGUBvfZ4f5WOGUMYMmEj8M3H_Rw=w36-h36-p-rp-mo-ba7-br100,5,2 months ago,"Among the 3 durbar squares in Kathmandu, this was the largest, and my favorite one.
Highly advisable to take a guide to really understand the history & culture behind it. Also carry sun-shade as its mostly an open area.
The sculptures depict amazingly detailed workmanship, with very good maintenance.
Do carry NPR for purchasing tickets at the entrance.","https://lh5.googleusercontent.com/p/AF1QipPCmHpwn1CQR0JouA0Ne-bW5evlT2hRZ2q1byiH=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOKCbj4-ETilGK0yH-mZHBWpe_PG1NxT6oOBCSh=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMT0PNr-gJ7-EvHhcKWNvsQ99IURoVOxMXolOf8=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOmPVZpzqEsdd72muLGvziF-JbMlEEvQG5r5atM=w300-h225-p-k-no",1
Bhaktapur Durbar Square,Abhijat Poudel,https://www.google.com/maps/contrib/100648376692016144548/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocK9qVy4bu0DWXQ8nxrHO1rPEcRh_UBCuEXP8dyeD8meNpx0=w36-h36-p-rp-mo-ba4-br100,5,2 months ago,A renowned world heritage site with a long history. The place holds importance in Nepali civilization. One can gaze upon the intriguing buildings with intricate geometry and structure. The place is easily accessible to all kinds of People.,"https://lh5.googleusercontent.com/p/AF1QipPaB9dENuFqpML2Y-bbVOcr3NG-LEE6EqUMk9k=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPQXydYEhqsFyX0k17Wfi9p6mjxKNjYwW_nRAc=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNHKIWYKA63OOQwqyiFmR_F8hRVlCuI00sA2Q0=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMVQVwrKI5NULRqZUH_zXIblYI74nT2LzmeP0U=w300-h225-p-k-no",3
Bhaktapur Durbar Square,Donna Mae Santos,https://www.google.com/maps/contrib/109362566932115902883/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocLBiS0P28UcPyJ8_xeauYG8x-3LUdV3aLIsk9AmrOGeCFbUbmA=w36-h36-p-rp-mo-br100,5,5 days ago,"Exploring Bhaktapur Square

Visiting Nepal for the first time, I made sure to include **Bhaktapur Durbar Square** on my travel list. Known for its **rich heritage and historical significance**, this iconic site in the Kathmandu Valley truly lived up to its reputation as one of Nepal’s must-visit destinations.

From the moment I entered the square, I was captivated by its **wonderful charm**. The intricate architecture of the ancient temples, palaces, and courtyards speaks volumes about Nepal’s glorious past. The atmosphere was **lively and bustling with tourists** from around the globe, all eager to soak in the beauty of this UNESCO World Heritage Site.

One of the highlights of my visit was trying my hand at **pottery making**. Bhaktapur is famous for its traditional pottery, and joining a local artisan at his wheel was an unforgettable experience. Though my creation was far from perfect, the joy of crafting something with my own hands made it all worthwhile.

Another treat that I couldn’t resist was the famous **Juju Dhau**, or “King of Yogurts.” This creamy, sweet delight lived up to its name and instantly became one of my favorite Nepali treats. It’s a must-try for anyone visiting Bhaktapur!

I also took my time to explore every **nook and cranny of the narrow streets**, which were filled with local shops, art galleries, and handicrafts. One of my best finds was a beautifully crafted **Kashmiri shawl**, a perfect souvenir to remember my trip by.

Bhaktapur Square isn’t just a historical site; it’s a living, breathing cultural hub. The combination of ancient heritage, vibrant markets, and friendly locals creates an experience that’s truly unique. If you’re visiting Kathmandu, don’t miss this **wonderful place**. It’s a treasure trove of history and culture that will leave you with memories to cherish forever!","https://lh5.googleusercontent.com/p/AF1QipN2HcIZhQEC2Q9jRMB-0q9IQ0zfoLhBwu8nN6us=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO0sqAy_ykr2p5O3fQFW-KT46MiKxbaO20T-vvW=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipM_jBDlryJ2WtefRl580Rn9koerZ84dpum_V6UR=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPzqxMNCwftPOW8hcgal25Ft-J62Uz6koRuz2Nj=w300-h225-p-k-no",0
Bhaktapur Durbar Square,Fahmid Salman Shah,https://www.google.com/maps/contrib/113266272503331973000/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjU7Q1cmJi3cdb7n3Z1Tq16w1VrcYsD7lw7LVL1zmdadyA9MFw7v=w36-h36-p-rp-mo-ba4-br100,5,3 months ago,Really nice place to visit to know the ancient history of Nepal. Its quite a large area. Needs couple of hours to cover. I’d recommend to hire a local guide who can explain the history of every items. It will make the visit more fruitful.,"https://lh5.googleusercontent.com/p/AF1QipNAYPWzo-3xjP1I4H9mTCf7YkrnJmjO68hHVL7u=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPdgiuBMG3lG7sBOxkGcILL_9uz4C4_r5uz3xqa=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO0WW85MeJXw7EmwDpFOOiLdHUati_0hz6Dxll4=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPwhIiuFzYByK2b9GSWWaFl-KuaNP5aAtAd9_FS=w300-h225-p-k-no",3
Bhaktapur Durbar Square,Abhigyan Basak,https://www.google.com/maps/contrib/110594132538047255695/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjU-OaT6XZZB22TJnq2GRQ-EexKn_0eyzp6TydqQ1PUdP3T7ic9H=w36-h36-p-rp-mo-ba5-br100,5,2 months ago,"Bhaktapur Durbar Square is an unforgettable experience that offers a glimpse into Nepal's rich history. Built in 15th century by King Yaksha Malla it serves as the seat of royal power and administrative center.

This place showcases medieval Nepalese architecture which blends Hindu-Buddhist influence. The square is a stunning display of Newar art and craftsmanship with intricate wood carvings, stone sculptures and terracotta tiles. It is the hub of traditional arts, crafts and festivals which includes famous Bisket Jatra Festival which is celebrated in the month of April. Because of the history and rich culture, it's been designated as UNESCO World Heritage Site since 1979.

The main attraction includes- Palace of Fifty five windows, Taleju Temple, Nyatapola Temple, Bhairavnath Temple.

The entry for local is free, for visitors from SAARC countries (Afghanistan, Bhutan, Bangladesh, India, Maldives, Nepal, Pakistan) and China's is NPR 500 and for other countries it is NPR 1800.

This place is a must visit ur you love art, history and culture but make sure to have enough time.","https://lh5.googleusercontent.com/p/AF1QipMUsBz1n4Pglu4QjfTN9_cWpPGgpSzMPTMmCnvM=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPbE4FsaTboQPNQDu1fY50FCFmw0UD7JaNYBHku=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPF6dzfRmUDpZAzqIi7bh4ArU719-EBe4gG_0yU=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNF1skO0t-aegzXjku60_2_4aIuakFr8QKITeGH=w300-h225-p-k-no",0
Badrinath temple,Manish Kumar,https://www.google.com/maps/contrib/115523795531586662367/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWML5-waYqUjvyAaKLsZXpfz9H_OgMx8GGBrm03EDkscrkuI8QUEg=w36-h36-p-rp-mo-ba5-br100,5,4 months ago,"Badrinath Temple in Uttarakhand is a revered Hindu pilgrimage site nestled in the Himalayas.

Known for its stunning location and rich history, the temple is dedicated to Lord Vishnu. Visitors are captivated by its ornate architecture and serene atmosphere.

However, the accessibility can be challenging due to its high altitude and often harsh weather conditions. Despite this, the temple's spiritual significance and breathtaking views make the visit memorable for devotees.","https://lh5.googleusercontent.com/p/AF1QipNYmL5KR3lL0SYJmyrt2N1IoxXKCH9D2ywI3sSa=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOFEnuQohBRdGGwFXKQyjVrMA47txKG5Hylp82I=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipP0nKeati_rx2eazSA_n2ChfyfS79o4Xcodvh9Q=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPbwI8yM9H-RC2Yg_RNx4UuIkKYiDwTiYND7uVc=w300-h225-p-k-no",1
Badrinath temple,Shyam Jha,https://www.google.com/maps/contrib/106544618139859831198/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWDjjiNQ2oCAK1W-VSZQdoAS1WkwU6wBRZGyaaFs0ulr7jly3YqAA=w36-h36-p-rp-mo-ba5-br100,5,a week ago,"Badrinath, located in Uttarakhand, is one of the most sacred pilgrimage sites for Hindus and part of the Char Dham Yatra. Here’s an honest review:

1. Spiritual Significance
Badrinath is dedicated to Lord Vishnu and offers a deeply spiritual experience. The temple's serene location, surrounded by the majestic Himalayas, enhances its divine aura. Devotees often describe the darshan as peaceful and fulfilling.

2. Scenic Beauty
Nestled on the banks of the Alaknanda River, Badrinath offers breathtaking views of snow-capped mountains, lush greenery, and serene valleys. The natural beauty is a highlight for both pilgrims and nature enthusiasts.

3. Facilities
- Accommodation:A variety of budget lodges and guesthouses are available, though they can get crowded during peak seasons.
- Food:Simple vegetarian meals are served at local eateries and by the temple's free community kitchen.
- Connectivity:Roads are well-maintained but can be challenging due to steep terrain.

4. Challenges
- Long queues during peak pilgrimage season (May to October).
- The high altitude (10,170 ft) may cause discomfort, especially for elderly visitors.
- Weather is unpredictable, with heavy rains during monsoon.

Overall Experience
Badrinath offers a combination of spiritual solace and natural splendor. Despite minor challenges, the divine atmosphere and scenic charm make it a must-visit for devotees and travelers alike.","https://lh5.googleusercontent.com/p/AF1QipOEBKs9y6qbab8NnRyIOMhI6_gOCXb_jrBSe0Lb=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipP7M_O2-ltHIvZLG_bobDmLe3v4ze-DdyedxMMy=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPE2pAxKXFzSmyKsVBu3SmJdOvPJ7nlViRPhRm9=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO5MbOkteBbGXforwjrQDjqLFBZ-A_oJqkUCNSl=w300-h225-p-k-no",0
