ID,Name,Latitude,Longitude,Country,City,Category,Description
1,Bhaktapur Durbar Square,27.672078,85.4281306,Nepal,Bhaktapur,Historical Site,"Bhaktapur Durbar Square is the historical heart of Bhaktapur, Nepal. It is a UNESCO World Heritage Site known for its preserved medieval architecture and rich culture. The square contains several important temples, palaces, and monuments, including the 55-Window Palace, Vatsala Temple, and the famous Varyagalli (Pagoda Style) temples. It is known for its traditional Newar architecture, ancient wooden carvings, and is a center of cultural festivals and events in Bhaktapur"
2,Changu Narayan,27.7164115,85.4279333,Nepal,Saangapha Twaa,Temple,"Changu Narayan is one of the oldest Hindu temples dedicated to Lord Vishnu, located in the Bhaktapur District of Nepal. The temple is a UNESCO World Heritage Site and is known for its rich history, dating back over 1,500 years. The temple complex features a rich collection of ancient artifacts, inscriptions, and sculpture, including a famous statue of Lord Vishnu riding Garuda. It holds significant religious and cultural value for Hindus"
3,Nyatapola Temple,27.6714097,85.4293725,Nepal,Bhaktapur,Temple,"Nyatapola Temple, located in Bhaktapur, Nepal, is one of the tallest and most revered temples in the Kathmandu Valley. Built in the 18th century, this five-story pagoda is dedicated to the goddess Siddhi Lakshmi. Its architectural grandeur and symbolic design make it one of the iconic landmarks in Bhaktapur Durbar Square."
4,Taumadhi Square,27.6722869237408,85.4289776640042,Nepal,Bhaktapur,Commercial Street,"Taumadhi Square is a prominent public space in Bhaktapur, Nepal, known for its historic monuments. The square is home to the Nyatapola Temple and various other temples, which are celebrated for their intricate carvings and detailed sculptures. The square’s vibrant atmosphere makes it a popular tourist destination and cultural hub."
5,Doleshwar Mahadev Temple,27.6408422085541,85.438323075315,Nepal,Nankhel,Temple,"Doleshwar Mahadev Temple is located in the Nankhel region of Bhaktapur, Nepal. This sacred site is dedicated to Lord Shiva and is believed to be one of the five holiest pilgrimage sites for Hindus. It is associated with the Pashupatinath Temple in Kathmandu, and it is a significant location for both locals and visitors seeking spiritual experiences."
6,Siddha Pokhari,27.6720253,85.4204415,Nepal,Bhaktapur,Historical Site,"Siddha Pokhari is a historical pond located in Bhaktapur, Nepal, known for its scenic beauty and historical significance. The pond is surrounded by ancient temples and statues, making it a peaceful location for visitors to reflect on Nepal’s rich heritage. It is one of the few remaining medieval ponds in the Kathmandu Valley."
7,Thimi,27.6890926736591,85.3885325393303,Nepal,Gongachiwa,Town,"Thimi is a town in Bhaktapur District, Nepal, renowned for its traditional culture and art. It is famous for its pottery and the vibrant local markets. The town’s historical significance includes old temples and structures that offer a glimpse into the ancient culture of the region. Visitors can experience the local craftsmanship and festivals of this cultural town."
8,"Bhairavnath Temple, Bhaktapur",27.66734,85.41673,Nepal,Bhaktapur,Temple,"The Bhairavnath Temple in Bhaktapur, Nepal, is dedicated to Bhairab, a fierce manifestation of Lord Shiva. The temple is known for its distinct pagoda-style architecture and historical significance. It is an important religious site for locals, particularly during the festival of Indra Jatra, when rituals and ceremonies are held.

The Bhairavnath Temple in Bhaktapur, Nepal, is dedicated to Bhairab, a fierce manifestation of Lord Shiva. The temple is known for its distinct pagoda-style architecture and historical significance. It is an important religious site for locals, particularly during the festival of Indra Jatra, when rituals and ceremonies are held.

"
9,"The Lion Gate, Bhaktapur",27.66734,85.41673,Nepal,Bhaktapur,Museum,"The Lion Gate is an iconic entrance gate located in Bhaktapur Durbar Square. This ornate gate, with its lion sculptures, is one of the architectural marvels of the medieval era. It was built by King Bhupatindra Malla and is part of the grand royal palace complex in Bhaktapur. The gate serves as an entrance to the 55-Window Palace and is an important symbol of the city’s royal heritage."
10,Taleju Temple,27.7049047,85.3079595,Nepal,Kathmandu Metropolitan City,Temple,"Taleju Temple, located in Kathmandu, Nepal, is a significant Hindu temple dedicated to the goddess Taleju. Built by King Mahendra Malla, the temple is famous for its intricate wooden carvings and sacred importance. The temple is located within the Kathmandu Durbar Square and is a notable landmark in Nepal's cultural and religious history."
