Name,URL
Bhaktapur Durbar Square,"https://www.google.com/maps/place/Bhaktapur+Durbar+Square/@27.67207,85.4257202,17z/data=!4m8!3m7!1s0x39eb1aafec32df31:0xdda339e731af9bfd!8m2!3d27.67207!4d85.4282951!9m1!1b1!16s%2Fm%2F0h1g9sk?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Changu Narayan,Error
Nyatapola Temple,Error
Siddha Pokhari,Error
Thimi,Error
"Bhairavnath Temple, Bhaktapur",Error
"The Lion Gate, Bhaktapur","https://www.google.com/maps/place/Golden+Gate/@27.6721136,85.425799,17z/data=!4m7!3m6!1s0x39eb1aaf95b64785:0x609f229c02797571!8m2!3d27.6721136!4d85.4283739!10e1!16s%2Fg%2F1tffxxq7?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Taleju Temple,"https://www.google.com/maps/place/Taleju+Bhawani+Temple/@27.7049154,85.3054718,17z/data=!4m7!3m6!1s0x39eb1856025cc86b:0x25c94a661e5bf981!8m2!3d27.7049154!4d85.3080467!10e1!16s%2Fg%2F1tdvhl5v?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Shree Vishwokarma Agam Chhen,Error
Aadipadma Mahavihar,Error
Lokeshwor temple of Bhaktapur,Error
Indra Varna Mahavihar (Inabaha),Error
Mangal Dharmadweep Mahavihar (Jhaur Bahi),Error
Dipankar Mahavihar,"https://www.google.com/maps/place/Dipankar+Vihar/@27.674884,85.4317349,17z/data=!4m7!3m6!1s0x39eb1ab287908381:0x83b939d0e50891be!8m2!3d27.674884!4d85.4343098!10e1!16s%2Fg%2F1hm382rgq?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Jayakriti Mahavihar (Thathu Bahi),Error
Chuma Ganesha Temple,Error
Salan Ganesh Dyo Chhen,Error
Aesamari Sattal of Taumadhi Square,"https://www.google.com/maps/place/Aesamari+Sattal/@27.67092,85.4265306,17z/data=!4m7!3m6!1s0x39eb1b82088c9995:0xc5a3ca48f6d867c8!8m2!3d27.67092!4d85.4291055!10e1!16s%2Fg%2F11rfdvylxd?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Jetha Ganesh Temple,Error
Uma Maheshwor temple,"https://www.google.com/maps/place/Uma+Maheshwor+Temple/@27.679881,85.2720813,17z/data=!4m7!3m6!1s0x39eb180ad1600351:0xfe11614aefc9dd09!8m2!3d27.679881!4d85.2746562!10e1!16s%2Fg%2F1tjtgpd8?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Bhajyapukhu of Bhaktapur,Error
Tripurasundari Dhungedhara (the stone conduit of Tripurasundari),Error
Jagannath temple of Tulachhen,Error
The image of Chatur Narayan,Error
Digu Bhairava Temple,Error
Bakhachhen Mahadev Temple and Siwa Ganesh temple,Error
Gunakriti Mahavihar,Error
Vishnu Kunda (Sungaa Pukhu),Error
Shree 3 Vishnu Bir mai Temple (Sungaa Dyo),Error
Thimi Layaku,Error
Ranipokhari of Bhaktapur,Error
Siddhi Ganesh Temple and Dyo Chhen,Error
Divyashwori temple,Error
Nil Barahi Temple,"https://www.google.com/maps/place/Nil+Barahi+Temple/@27.6993794,85.3943642,17z/data=!4m7!3m6!1s0x39eb1af8623fd56d:0x349d2e9b4e133a7f!8m2!3d27.6993794!4d85.3969391!10e1!16s%2Fg%2F1td0lf4x?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Mahalaxmi temple of Bode,Error
Siddhi Kali Temple,"https://www.google.com/maps/place/Siddhikali+Temple/@27.6806137,85.380479,17z/data=!4m7!3m6!1s0x39eb1a69041b2049:0x235ba39d475628b6!8m2!3d27.6806137!4d85.3830539!10e1!16s%2Fg%2F11h9xhyytc?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Wane Layaku,Error
Tribikram Narayan Temple,Error
Yetachapari,Error
