,index,ID,Name,Category,City,Country,Latitude,Longitude,Description,Entry_Time,Fee,Visit_Time
0,0,1,Bhaktapur Durbar Square,Historical Site,Bhaktapur,Nepal,27.672078,85.4281306,Not Available,0,0,2-3 hours
1,1,2,Changu Narayan,Temple,Unknown,Nepal,27.7164115,85.4279333,Not Available,0,0,1-2 hrs
2,2,3,Nyatapola Temple,Temple,Bhaktapur,Nepal,27.6714097,85.4293725,Not Available,0,0,1 - 2 hours
3,5,6,Siddha Pokhari,Historical Site,Bhaktapur,Nepal,27.6720253,85.4204415,Not Available,0,0,1-2 hrs
4,6,7,Thimi,Town,Unknown,Nepal,27.6732593,85.3864013,Not Available,0,0,1-2 days
5,7,8,"Bhairavnath Temple, Bhaktapur",Temple,Unknown,Nepal,27.66734,85.41673,Not Available,0,0,1-2 hours
6,8,9,"The Lion Gate, Bhaktapur",Museum,Unknown,Nepal,27.66734,85.41673,Not Available,0,0,1 - 2 hours
7,9,10,Taleju Temple,Temple,Kathmandu Metropolitan City,Nepal,27.7049047,85.3079595,Not Available,0,0,Not Found
8,10,11,Shree Vishwokarma Agam Chhen,Heritage Site,Unknown,Nepal,27.6738883,85.4306298,"Shree Vishwakarma Agam Chhen, located at Tuchimala tole of Bhaktapur is one of Bhaktapur’s most distinctive architectural structures. After building the Nyatapola temple, the Awal people are reported to have built the Agam Chhen.
The most unusual aspect of its building is that, unlike any other wooden window, it has a window constructed of clay. That window is also known as Tellikata jhyal, which translates to “clay window.”
The architecture is said to be 318 years old, which corresponds to the age of the Nyatapola temple.
Furthermore, the architecture was recently rebuilt and launched. This is the second time it has been renovated. It is reported that it was initially renovated after the 1990 earthquake.
However, there appear to be planning to showcase it as one of Bhaktapur’s museums.",Not Available,0,Not Available
9,11,12,Aadipadma Mahavihar,Heritage Site,Unknown,Nepal,27.6733111,85.4352705,"Aadipadma Mahavihar is one of Bhaktapur’s oldest Vihars. Despite the lack of documentation detailing its origins, it is commonly referred to as Bhaktapur’s Jetho Vihar, which means “older one.” The vihar was referred to as Tombaha or Tungbaha in Rajbamsawali.
This Mahavihar is the place where both the Panchara (Pancha dan) and Samyak Mahadan begin. During Mohani, a kumari is also set up in front of this Vihar. All of this just demonstrates the location’s antiquity and historical significance.
Moreover, during Panchadan, all five Dipankar buddhas are welcomed at Aadipadma Mahaihar after gathering at Suryamandhi’s dabali (platform). Only after which, does the panchadan procedure begin.
The Vihar is located in Suryamadhi’s Taulachhen tole. Suryamadhi’s south-western corner has a short alley that leads directly to the vihar.",Not Available,0,Not Available
10,12,13,Lokeshwor temple of Bhaktapur,Heritage Site,Unknown,Nepal,27.6720761,85.4253176,"Bhaktapur’s Lokeshwor temple, also known as Karunamaya, is a gorgeous temple located within the municipal limits of Bhaktapur. The temple is surrounded by local homes, moreover, the temple’s backside is rather attached to a house too.
Legend has it that when Lichhavi King Narendra Deva was ready to introduce Rato Machhindranatha (Lord Karunamaya) to Nepal, it was determined to establish one of the three designated locations. The contemporary Lokeshwor temple, Silu Mahadeva (Phasidegal), and Aankha Bahal were those three locations.
These locations are claimed to have been picked by a bird who was thought to be Lord Karunamaya’s emissary. The entire procedure was carried out under the auspices of tantrism.
As a result, these sites were regarded as the holiest. When the task of establishing Karunamaya was not completed, Baladeva, King Narendra Deva’s son, established a Padmapani Lokeshwor there.
Padmapani Lokeshwor is a Hindu god who appears to always be holding a lotus in his palm. He is also known as the Lashkar dyo (Laska dyo) and Bhaktapur’s Karunamaya.
The Jet Varna vihar is another name for it. It has Gaju Chaityas, Khamba Chaityas, Bajra Khatu Chaityas, Dharma Khatu, Vimba, Lokeshwor, and Dharma Dhatu Mandir on its premises.
Reference legend: Ganesh Ranjeet",Not Available,0,Not Available
11,13,14,Indra Varna Mahavihar (Inabaha),Heritage Site,Unknown,Nepal,27.6723734,85.4341177,"Indra Varna Mahavihar locally called Inabaha and Indra Varta Mahavihar is one of the important Mahavihar of Bhaktapur. It is assumed that in N.S.741 when King Jagarjyoti Malla was ruling over Nepalmandal, Devsingha Buddhacharya bought land from Hari in Badimangal Yugtole and made the Vihar.
In the names of the erectors, Dev Singh, Jaya Singha and Melu Singha’s names come first. And the very same Devsingha also established a statue of Dipankar Buddha in N.S.749 in the name of his son Devadas.
There is also the image of Pragyaparamita and Avalokiteshwora on the right and the left side of the main deity, Achhobhya Buddha.
The vihar is also famous for a certain event named Barhe Chukegu. It is a part of the traditional Buddhist Chudakarma ritual where the boys of Bajracharyas and Shakyas go through Acharya Abhisheka. The event is more likely considered as a Tantric in grace rite that qualifies any Bajarcharya to become a priest.
During Gunla, daily bhajans (singing hymns ) are regulated there.
However, the torans of the vihar is in bizarre conditions. There are no images of the replicated deity in it. Besides, the architecture of the vihar also seems devastated by the 2015 earthquake. Even though there are people living there.
Indra Varna Mahavihar (Inabaha)
Nevertheless, the temple-like architecture at the top of the building with two Pattas (Patah) hanging around it gives quite a traditional taste. Also, the wall paintings are abnormally beautiful.",Not Available,0,Not Available
12,14,15,Mangal Dharmadweep Mahavihar (Jhaur Bahi),Heritage Site,Unknown,Nepal,27.6723637,85.4330929,"Mangal Dharmadweep Mahavihar, which is located in Bhaktapur’s Golmadhi tole, is also known as Jhaur Bahi. In this Vihar, one of the five Dipankar Buddhas can be found.
Mangal Dharmadweep Mahavihar (Jhaur Bahi)
The Pauva arts are displayed here at Gunhi Punhi. This Vihar was constructed in the 13th century. Later, Jibtaj Bajraacharya’s descendants from Tadhichhen Baha renovated it (Tadhuchhen Bahal).
This Bahi, like the others, has a rectangular courtyard with modest chaityas. It also features the artwork of many Buddhas on its walls. Normally, the passage is less congested. During Samyak Mahadan, Pnchadan, and Gunla Parva, however, the site is packed with worshipers.",Not Available,0,Not Available
